# threads,tag,k,B,shots,shots_per_s,mshot_layer
1,batched,12,256,256,2455.9,0.010
1,batched,12,1024,1024,2437.2,0.010
1,batched,12,4096,4096,2396.1,0.010
1,batched,12,16384,16384,2420.3,0.010
1,batched,16,256,256,142.1,0.001
1,batched,16,1024,1024,142.7,0.001
1,batched,18,256,256,27.2,0.000
1,batchedmeas,12,256,256,2478.7,0.010
1,batchedmeas,12,1024,1024,2332.7,0.009
1,batchedmeas,12,4096,4096,2311.7,0.009
1,batchedmeas,12,16384,16384,2362.3,0.009
1,batchedmeas,16,256,256,135.0,0.001
1,batchedmeas,16,1024,1024,135.4,0.001
1,batchedmeas,18,256,256,26.3,0.000
1,batchedreal,12,256,256,11597.6,0.046
1,batchedreal,12,1024,1024,10188.2,0.041
1,batchedreal,12,4096,4096,9843.4,0.039
1,batchedreal,12,16384,16384,10234.4,0.041
1,batchedreal,16,256,256,754.6,0.003
1,batchedreal,16,1024,1024,732.6,0.003
1,batchedreal,18,256,256,139.6,0.001
2,batched,12,256,256,4481.9,0.018
2,batched,12,1024,1024,4568.4,0.018
2,batched,12,4096,4096,4593.9,0.018
2,batched,12,16384,16384,4493.4,0.018
2,batched,16,256,256,275.2,0.001
2,batched,16,1024,1024,280.2,0.001
2,batched,18,256,256,54.3,0.000
2,batchedmeas,12,256,256,4351.9,0.017
2,batchedmeas,12,1024,1024,4410.2,0.018
2,batchedmeas,12,4096,4096,4445.2,0.018
2,batchedmeas,12,16384,16384,4328.9,0.017
2,batchedmeas,16,256,256,269.5,0.001
2,batchedmeas,16,1024,1024,273.4,0.001
2,batchedmeas,18,256,256,52.2,0.000
2,batchedreal,12,256,256,19016.3,0.076
2,batchedreal,12,1024,1024,18495.8,0.074
2,batchedreal,12,4096,4096,18553.0,0.074
2,batchedreal,12,16384,16384,18283.7,0.073
2,batchedreal,16,256,256,1525.5,0.006
2,batchedreal,16,1024,1024,1477.8,0.006
2,batchedreal,18,256,256,279.9,0.001
4,batched,12,256,256,8765.1,0.035
4,batched,12,1024,1024,8836.4,0.035
4,batched,12,4096,4096,8768.0,0.035
4,batched,12,16384,16384,8800.5,0.035
4,batched,16,256,256,556.1,0.002
4,batched,16,1024,1024,552.3,0.002
4,batched,18,256,256,106.4,0.000
4,batchedmeas,12,256,256,8554.8,0.034
4,batchedmeas,12,1024,1024,8442.4,0.034
4,batchedmeas,12,4096,4096,8410.2,0.034
4,batchedmeas,12,16384,16384,8410.3,0.034
4,batchedmeas,16,256,256,533.7,0.002
4,batchedmeas,16,1024,1024,538.3,0.002
4,batchedmeas,18,256,256,102.3,0.000
4,batchedreal,12,256,256,35296.4,0.141
4,batchedreal,12,1024,1024,35224.9,0.141
4,batchedreal,12,4096,4096,34794.8,0.139
4,batchedreal,12,16384,16384,35442.0,0.142
4,batchedreal,16,256,256,2870.1,0.011
4,batchedreal,16,1024,1024,2913.6,0.012
4,batchedreal,18,256,256,552.5,0.002
8,batched,12,256,256,17413.4,0.070
8,batched,12,1024,1024,17393.8,0.070
8,batched,12,4096,4096,17257.4,0.069
8,batched,12,16384,16384,17450.7,0.070
8,batched,16,256,256,1095.6,0.004
8,batched,16,1024,1024,1098.7,0.004
8,batched,18,256,256,208.1,0.001
8,batchedmeas,12,256,256,16424.4,0.066
8,batchedmeas,12,1024,1024,16552.4,0.066
8,batchedmeas,12,4096,4096,16606.6,0.066
8,batchedmeas,12,16384,16384,16496.5,0.066
8,batchedmeas,16,256,256,1060.9,0.004
8,batchedmeas,16,1024,1024,1089.8,0.004
8,batchedmeas,18,256,256,201.6,0.001
8,batchedreal,12,256,256,68198.0,0.273
8,batchedreal,12,1024,1024,68310.8,0.273
8,batchedreal,12,4096,4096,68246.5,0.273
8,batchedreal,12,16384,16384,70338.4,0.281
8,batchedreal,16,256,256,5806.9,0.023
8,batchedreal,16,1024,1024,5723.5,0.023
8,batchedreal,18,256,256,1113.9,0.004
16,batched,12,256,256,21463.2,0.086
16,batched,12,1024,1024,21103.9,0.084
16,batched,12,4096,4096,21158.9,0.085
16,batched,12,16384,16384,21141.5,0.085
16,batched,16,256,256,1136.1,0.005
16,batched,16,1024,1024,1143.3,0.005
16,batched,18,256,256,238.2,0.001
16,batchedmeas,12,256,256,19124.4,0.076
16,batchedmeas,12,1024,1024,19252.8,0.077
16,batchedmeas,12,4096,4096,19202.4,0.077
16,batchedmeas,12,16384,16384,19727.6,0.079
16,batchedmeas,16,256,256,1099.7,0.004
16,batchedmeas,16,1024,1024,1124.5,0.004
16,batchedmeas,18,256,256,224.6,0.001
16,batchedreal,12,256,256,90952.1,0.364
16,batchedreal,12,1024,1024,89279.4,0.357
16,batchedreal,12,4096,4096,87598.1,0.350
16,batchedreal,12,16384,16384,87223.0,0.349
16,batchedreal,16,256,256,6383.6,0.026
16,batchedreal,16,1024,1024,6554.1,0.026
16,batchedreal,18,256,256,1202.4,0.005
