# tag,k,op_or_B,dim_or_shots_or_bytes,metric1,metric2
transfer,10,16384,1.512,1.600
transfer,14,262144,10.056,7.908
transfer,18,4194304,14.558,13.877
transfer,22,67108864,15.420,15.715
transfer,26,1073741824,9.464,16.280
transfer,30,17179869184,9.461,16.373
singlegpu,10,H,1024,2498.5,0.410
singlegpu,10,T,1024,2474.5,0.207
singlegpu,10,CZ,1024,2518.7,0.102
singlegpu,10,CNOT,1024,2514.6,0.204
singlegpu,10,U2,1024,2439.5,0.420
singlegpu,10,U4,1024,3507.8,0.292
singlegpu,10,EXPAND,1024,2473.1,0.828
singlegpu,10,EXPAND_T,1024,2575.1,0.795
singlegpu,10,MEAS_DIAG,1024,5123.8,0.400
singlegpu,10,MEAS_INTERFERE,1024,5040.3,0.406
singlegpu,11,H,2048,2489.4,0.823
singlegpu,11,T,2048,2472.6,0.414
singlegpu,11,CZ,2048,2475.1,0.207
singlegpu,11,CNOT,2048,2492.2,0.411
singlegpu,11,U2,2048,2495.5,0.821
singlegpu,11,U4,2048,3574.5,0.573
singlegpu,11,EXPAND,2048,2519.9,1.625
singlegpu,11,EXPAND_T,2048,2491.6,1.644
singlegpu,11,MEAS_DIAG,2048,5051.0,0.811
singlegpu,11,MEAS_INTERFERE,2048,5055.4,0.810
singlegpu,12,H,4096,2489.2,1.645
singlegpu,12,T,4096,2488.2,0.823
singlegpu,12,CZ,4096,2492.5,0.411
singlegpu,12,CNOT,4096,2518.6,0.813
singlegpu,12,U2,4096,2498.8,1.639
singlegpu,12,U4,4096,3560.8,1.150
singlegpu,12,EXPAND,4096,2531.3,3.236
singlegpu,12,EXPAND_T,4096,2504.2,3.271
singlegpu,12,MEAS_DIAG,4096,5068.5,1.616
singlegpu,12,MEAS_INTERFERE,4096,5039.4,1.626
singlegpu,13,H,8192,2490.0,3.290
singlegpu,13,T,8192,2489.2,1.645
singlegpu,13,CZ,8192,2508.4,0.816
singlegpu,13,CNOT,8192,2563.5,1.598
singlegpu,13,U2,8192,2517.1,3.254
singlegpu,13,U4,8192,3630.8,2.256
singlegpu,13,EXPAND,8192,2525.9,6.487
singlegpu,13,EXPAND_T,8192,2519.8,6.502
singlegpu,13,MEAS_DIAG,8192,5085.4,3.222
singlegpu,13,MEAS_INTERFERE,8192,5094.7,3.216
singlegpu,14,H,16384,2498.1,6.559
singlegpu,14,T,16384,2481.3,3.302
singlegpu,14,CZ,16384,2495.5,1.641
singlegpu,14,CNOT,16384,2551.8,3.210
singlegpu,14,U2,16384,2506.9,6.536
singlegpu,14,U4,16384,3699.5,4.429
singlegpu,14,EXPAND,16384,2492.6,13.146
singlegpu,14,EXPAND_T,16384,2526.4,12.970
singlegpu,14,MEAS_DIAG,16384,5029.2,6.516
singlegpu,14,MEAS_INTERFERE,16384,5062.8,6.472
singlegpu,15,H,32768,2505.6,13.078
singlegpu,15,T,32768,2504.2,6.543
singlegpu,15,CZ,32768,2502.4,3.274
singlegpu,15,CNOT,32768,2671.6,6.133
singlegpu,15,U2,32768,2484.3,13.190
singlegpu,15,U4,32768,3842.3,8.528
singlegpu,15,EXPAND,32768,2524.0,25.965
singlegpu,15,EXPAND_T,32768,2499.4,26.221
singlegpu,15,MEAS_DIAG,32768,5039.1,13.006
singlegpu,15,MEAS_INTERFERE,32768,5019.9,13.055
singlegpu,16,H,65536,2478.0,26.447
singlegpu,16,T,65536,2491.8,13.150
singlegpu,16,CZ,65536,2503.6,6.544
singlegpu,16,CNOT,65536,2696.8,12.151
singlegpu,16,U2,65536,2509.1,26.119
singlegpu,16,U4,65536,3953.3,16.577
singlegpu,16,EXPAND,65536,2507.3,52.276
singlegpu,16,EXPAND_T,65536,2509.8,52.225
singlegpu,16,MEAS_DIAG,65536,5040.3,26.005
singlegpu,16,MEAS_INTERFERE,65536,5061.1,25.898
singlegpu,17,H,131072,2507.9,52.264
singlegpu,17,T,131072,2509.1,26.119
singlegpu,17,CZ,131072,2513.7,13.036
singlegpu,17,CNOT,131072,3196.8,20.501
singlegpu,17,U2,131072,2502.9,52.368
singlegpu,17,U4,131072,4961.1,26.420
singlegpu,17,EXPAND,131072,2515.1,104.228
singlegpu,17,EXPAND_T,131072,2510.5,104.420
singlegpu,17,MEAS_DIAG,131072,5179.3,50.614
singlegpu,17,MEAS_INTERFERE,131072,5241.2,50.016
singlegpu,18,H,262144,2794.1,93.821
singlegpu,18,T,262144,2547.8,51.446
singlegpu,18,CZ,262144,2725.1,24.049
singlegpu,18,CNOT,262144,4722.1,27.757
singlegpu,18,U2,262144,2867.0,91.434
singlegpu,18,U4,262144,8075.0,32.463
singlegpu,18,EXPAND,262144,3129.1,167.554
singlegpu,18,EXPAND_T,262144,2778.0,188.726
singlegpu,18,MEAS_DIAG,262144,5832.0,89.899
singlegpu,18,MEAS_INTERFERE,262144,5989.6,87.533
singlegpu,19,H,524288,4181.0,125.399
singlegpu,19,T,524288,2939.1,89.193
singlegpu,19,CZ,524288,3600.7,36.402
singlegpu,19,CNOT,524288,8413.9,31.156
singlegpu,19,U2,524288,4126.9,127.042
singlegpu,19,U4,524288,14399.3,36.411
singlegpu,19,EXPAND,524288,4641.7,225.904
singlegpu,19,EXPAND_T,524288,4082.1,256.872
singlegpu,19,MEAS_DIAG,524288,7300.6,143.628
singlegpu,19,MEAS_INTERFERE,524288,7347.2,142.717
singlegpu,20,H,1048576,7634.4,137.349
singlegpu,20,T,1048576,4580.1,114.471
singlegpu,20,CZ,1048576,7960.5,32.931
singlegpu,20,CNOT,1048576,14525.6,36.094
singlegpu,20,U2,1048576,7448.6,140.774
singlegpu,20,U4,1048576,26957.1,38.898
singlegpu,20,EXPAND,1048576,7560.3,277.390
singlegpu,20,EXPAND_T,1048576,6538.4,320.744
singlegpu,20,MEAS_DIAG,1048576,10790.3,194.355
singlegpu,20,MEAS_INTERFERE,1048576,10582.5,198.172
singlegpu,21,H,2097152,13575.9,154.476
singlegpu,21,T,2097152,7309.1,143.462
singlegpu,21,CZ,2097152,13870.7,37.798
singlegpu,21,CNOT,2097152,26761.6,39.182
singlegpu,21,U2,2097152,13369.3,156.863
singlegpu,21,U4,2097152,49875.4,42.048
singlegpu,21,EXPAND,2097152,18484.1,226.914
singlegpu,21,EXPAND_T,2097152,18454.7,227.276
singlegpu,21,MEAS_DIAG,2097152,17873.1,234.671
singlegpu,21,MEAS_INTERFERE,2097152,17890.2,234.447
singlegpu,22,H,4194304,35227.3,119.064
singlegpu,22,T,4194304,14315.6,146.494
singlegpu,22,CZ,4194304,33595.1,31.212
singlegpu,22,CNOT,4194304,54635.0,38.385
singlegpu,22,U2,4194304,35260.5,118.952
singlegpu,22,U4,4194304,98068.5,42.769
singlegpu,22,EXPAND,4194304,34374.2,244.038
singlegpu,22,EXPAND_T,4194304,34335.8,244.311
singlegpu,22,MEAS_DIAG,4194304,39741.0,211.082
singlegpu,22,MEAS_INTERFERE,4194304,45542.3,184.194
singlegpu,23,H,8388608,66785.2,125.606
singlegpu,23,T,8388608,36594.4,114.616
singlegpu,23,CZ,8388608,62992.7,33.292
singlegpu,23,CNOT,8388608,102721.9,40.832
singlegpu,23,U2,8388608,66783.9,125.608
singlegpu,23,U4,8388608,189387.4,44.293
singlegpu,23,EXPAND,8388608,65547.1,255.957
singlegpu,23,EXPAND_T,8388608,65528.5,256.029
singlegpu,23,MEAS_DIAG,8388608,72599.7,231.092
singlegpu,23,MEAS_INTERFERE,8388608,85830.4,195.469
singlegpu,24,H,16777216,129747.5,129.307
singlegpu,24,T,16777216,66998.9,125.205
singlegpu,24,CZ,16777216,122792.9,34.158
singlegpu,24,CNOT,16777216,199240.9,42.103
singlegpu,24,U2,16777216,129633.1,129.421
singlegpu,24,U4,16777216,373676.5,44.898
singlegpu,24,EXPAND,16777216,128028.8,262.085
singlegpu,24,EXPAND_T,16777216,127964.1,262.217
singlegpu,24,MEAS_DIAG,16777216,133722.0,250.927
singlegpu,24,MEAS_INTERFERE,16777216,161469.1,207.807
singlegpu,25,H,33554432,255866.3,131.141
singlegpu,25,T,33554432,129407.4,129.647
singlegpu,25,CZ,33554432,245518.7,34.167
singlegpu,25,CNOT,33554432,391529.7,42.850
singlegpu,25,U2,33554432,255938.7,131.103
singlegpu,25,U4,33554432,743793.5,45.113
singlegpu,25,EXPAND,33554432,252098.5,266.201
singlegpu,25,EXPAND_T,33554432,252016.2,266.288
singlegpu,25,MEAS_DIAG,33554432,254364.5,263.830
singlegpu,25,MEAS_INTERFERE,33554432,311373.0,215.526
singlegpu,26,H,67108864,509122.5,131.813
singlegpu,26,T,67108864,265444.2,126.409
singlegpu,26,CZ,67108864,496020.5,33.824
singlegpu,26,CNOT,67108864,776295.5,43.224
singlegpu,26,U2,67108864,509073.5,131.825
singlegpu,26,U4,67108864,1487473.0,45.116
singlegpu,26,EXPAND,67108864,501028.0,267.885
