# tag,k,op_or_B,dim_or_shots_or_bytes,metric1,metric2
transfer,22,67108864,14.983,16.242
transfer,26,1073741824,9.615,17.002
singlegpu,22,H,4194304,35503.9,118.136
singlegpu,22,T,4194304,14389.0,145.747
singlegpu,22,CZ,4194304,33980.1,30.859
singlegpu,22,CNOT,4194304,54853.7,38.232
singlegpu,22,U2,4194304,35571.9,117.911
singlegpu,22,U4,4194304,98289.9,42.673
singlegpu,22,EXPAND,4194304,34777.1,241.211
singlegpu,22,EXPAND_T,4194304,34761.5,241.319
singlegpu,22,MEAS_DIAG,4194304,40062.8,209.387
singlegpu,22,MEAS_INTERFERE,4194304,45912.4,182.709
singlegpu,23,H,8388608,67215.4,124.802
singlegpu,23,T,8388608,37003.4,113.349
singlegpu,23,CZ,8388608,63711.2,32.917
singlegpu,23,CNOT,8388608,103314.5,40.597
singlegpu,23,U2,8388608,67204.4,124.822
singlegpu,23,U4,8388608,189692.9,44.222
singlegpu,23,EXPAND,8388608,66052.9,253.997
singlegpu,23,EXPAND_T,8388608,66042.6,254.036
singlegpu,23,MEAS_DIAG,8388608,72842.3,230.322
singlegpu,23,MEAS_INTERFERE,8388608,85849.6,195.426
singlegpu,24,H,16777216,130379.4,128.680
singlegpu,24,T,16777216,66821.1,125.538
singlegpu,24,CZ,16777216,123985.6,33.829
singlegpu,24,CNOT,16777216,200269.6,41.887
singlegpu,24,U2,16777216,130386.8,128.673
singlegpu,24,U4,16777216,374486.2,44.801
singlegpu,24,EXPAND,16777216,128783.1,260.550
singlegpu,24,EXPAND_T,16777216,128781.5,260.553
singlegpu,24,MEAS_DIAG,16777216,133612.4,251.133
singlegpu,24,MEAS_INTERFERE,16777216,160742.1,208.747
singlegpu,25,H,33554432,257188.5,130.466
singlegpu,25,T,33554432,130301.0,128.757
singlegpu,25,CZ,33554432,248562.5,33.748
singlegpu,25,CNOT,33554432,393075.3,42.682
singlegpu,25,U2,33554432,257273.5,130.423
singlegpu,25,U4,33554432,745654.0,45.000
singlegpu,25,EXPAND,33554432,253352.8,264.883
singlegpu,25,EXPAND_T,33554432,253295.5,264.943
singlegpu,25,MEAS_DIAG,33554432,253399.0,264.835
singlegpu,25,MEAS_INTERFERE,33554432,309241.7,217.011
singlegpu,26,H,67108864,511712.5,131.146
singlegpu,26,T,67108864,267052.7,125.647
singlegpu,26,CZ,67108864,501395.0,33.461
singlegpu,26,CNOT,67108864,779140.5,43.066
singlegpu,26,U2,67108864,511513.0,131.197
singlegpu,26,U4,67108864,1488407.0,45.088
singlegpu,26,EXPAND,67108864,503625.0,266.503
singlegpu,26,EXPAND_T,67108864,503198.0,266.729
singlegpu,26,MEAS_DIAG,67108864,495081.0,271.103
singlegpu,26,MEAS_INTERFERE,67108864,608046.0,220.736
singlegpu,27,H,134217728,1020175.0,131.563
singlegpu,27,T,134217728,530896.0,126.407
singlegpu,27,CZ,134217728,1006932.0,33.323
singlegpu,27,CNOT,134217728,1551555.0,43.253
singlegpu,27,U2,134217728,1020634.1,131.504
singlegpu,27,U4,134217728,2983906.0,44.981
singlegpu,27,EXPAND,134217728,1006554.0,266.688
singlegpu,27,EXPAND_T,134217728,1005857.0,266.872
singlegpu,27,MEAS_DIAG,134217728,977751.0,274.544
singlegpu,27,MEAS_INTERFERE,134217728,1205327.0,222.708
singlegpu,28,H,268435456,2039328.1,131.629
singlegpu,28,T,268435456,1051550.0,127.638
singlegpu,28,CZ,268435456,2017398.1,33.265
singlegpu,28,CNOT,268435456,3094368.0,43.375
singlegpu,28,U2,268435456,2037642.0,131.738
singlegpu,28,U4,268435456,5956428.1,45.067
singlegpu,28,EXPAND,268435456,2010914.1,266.979
singlegpu,28,EXPAND_T,268435456,2009604.0,267.153
singlegpu,28,MEAS_DIAG,268435456,1935322.0,277.406
singlegpu,28,MEAS_INTERFERE,268435456,2398706.0,223.817
batchedgpu,22,8,8,149.5,0.001
batchedgpu,22,32,32,151.3,0.001
batchedgpu,22,128,128,151.6,0.001
batchedgpu,22,256,256,151.8,0.001
batchedgpu,22,1024,1024,151.8,0.001
batchedgpu,24,8,8,35.1,0.000
batchedgpu,24,32,32,35.2,0.000
batchedgpu,24,128,128,35.2,0.000
batchedgpu,24,256,256,35.2,0.000
batchedgpu,26,8,8,8.2,0.000
batchedgpu,26,32,32,8.2,0.000
batchedgpu,28,8,8,1.9,0.000
batchedmeasgpu,22,8,8,114.6,4070.272
measround,22,8,8,4070.272,508.784
batchedmeasgpu,22,32,32,139.1,4662.598
measround,22,32,32,4662.598,145.706
batchedmeasgpu,22,128,128,146.5,7393.854
measround,22,128,128,7393.854,57.764
batchedmeasgpu,22,256,256,147.7,11412.136
measround,22,256,256,11412.136,44.579
batchedmeasgpu,22,1024,1024,148.0,41437.112
measround,22,1024,1024,41437.112,40.466
batchedmeasgpu,24,8,8,27.2,16554.189
measround,24,8,8,16554.189,2069.274
batchedmeasgpu,24,32,32,32.5,18873.849
measround,24,32,32,18873.849,589.808
batchedmeasgpu,24,128,128,34.1,29653.530
measround,24,128,128,29653.530,231.668
batchedmeasgpu,24,256,256,34.3,45702.920
measround,24,256,256,45702.920,178.527
batchedmeasgpu,26,8,8,6.5,66101.989
measround,26,8,8,66101.989,8262.749
batchedmeasgpu,26,32,32,7.6,75247.727
measround,26,32,32,75247.727,2351.491
batchedmeasgpu,28,8,8,1.5,264143.110
measround,28,8,8,264143.110,33017.889
batcheddevgpu,22,8,8,114.7,4049.467
measrounddev,22,8,8,4049.467,506.183
batcheddevgpu,22,32,32,139.2,4629.998
measrounddev,22,32,32,4629.998,144.687
batcheddevgpu,22,128,128,146.5,7374.313
measrounddev,22,128,128,7374.313,57.612
batcheddevgpu,22,256,256,147.7,11349.912
measrounddev,22,256,256,11349.912,44.336
batcheddevgpu,22,1024,1024,148.1,41339.961
measrounddev,22,1024,1024,41339.961,40.371
batcheddevgpu,24,8,8,27.2,16554.809
measrounddev,24,8,8,16554.809,2069.351
batcheddevgpu,24,32,32,32.5,18909.757
measrounddev,24,32,32,18909.757,590.930
batcheddevgpu,24,128,128,34.1,29589.577
measrounddev,24,128,128,29589.577,231.169
batcheddevgpu,24,256,256,34.4,45721.706
measrounddev,24,256,256,45721.706,178.600
batcheddevgpu,26,8,8,6.5,66094.302
measrounddev,26,8,8,66094.302,8261.788
batcheddevgpu,26,32,32,7.6,75587.976
measrounddev,26,32,32,75587.976,2362.124
batcheddevgpu,28,8,8,1.5,264197.407
measrounddev,28,8,8,264197.407,33024.676
mimdgpu,22,8,8,8.4,0
mimdgpu,22,32,32,30.7,0
mimdgpu,22,128,128,92.6,0
mimdgpu,22,256,256,128.0,0
mimdgpu,22,1024,1024,142.0,0
mimdgpu,24,8,8,1.9,0
mimdgpu,24,32,32,7.0,0
mimdgpu,24,128,128,21.4,0
mimdgpu,24,256,256,29.7,0
mimdgpu,26,8,8,0.4,0
mimdgpu,26,32,32,1.6,0
mimdgpu,28,8,8,0.1,0
batchedrealgpu,22,8,8,323.1,4323.519
measroundreal,22,8,8,4323.519,540.440
batchedrealgpu,22,32,32,638.3,5198.365
