# threads,tag,k,B,shots,shots_per_s,mshot_layer
1,batched,12,256,256,2658.2,0.011
1,batched,12,1024,1024,2655.5,0.011
1,batched,12,4096,4096,2612.5,0.010
1,batched,12,16384,16384,2614.3,0.010
1,batched,16,256,256,148.8,0.001
1,batched,16,1024,1024,149.4,0.001
1,batched,18,256,256,27.1,0.000
1,batchedmeas,12,256,256,2474.2,0.010
1,batchedmeas,12,1024,1024,2503.0,0.010
1,batchedmeas,12,4096,4096,2463.9,0.010
1,batchedmeas,12,16384,16384,2460.4,0.010
1,batchedmeas,16,256,256,145.3,0.001
1,batchedmeas,16,1024,1024,146.0,0.001
1,batchedmeas,18,256,256,26.1,0.000
1,batchedreal,12,256,256,12024.4,0.048
1,batchedreal,12,1024,1024,12020.3,0.048
1,batchedreal,12,4096,4096,11787.8,0.047
1,batchedreal,12,16384,16384,11784.6,0.047
1,batchedreal,16,256,256,851.6,0.003
1,batchedreal,16,1024,1024,862.9,0.003
1,batchedreal,18,256,256,153.7,0.001
2,batched,12,256,256,4895.9,0.020
2,batched,12,1024,1024,4888.7,0.020
2,batched,12,4096,4096,4871.7,0.019
2,batched,12,16384,16384,4830.3,0.019
2,batched,16,256,256,289.0,0.001
2,batched,16,1024,1024,296.2,0.001
2,batched,18,256,256,49.0,0.000
2,batchedmeas,12,256,256,4589.8,0.018
2,batchedmeas,12,1024,1024,4605.8,0.018
2,batchedmeas,12,4096,4096,4595.2,0.018
2,batchedmeas,12,16384,16384,4595.0,0.018
2,batchedmeas,16,256,256,288.7,0.001
2,batchedmeas,16,1024,1024,290.2,0.001
2,batchedmeas,18,256,256,47.2,0.000
2,batchedreal,12,256,256,20307.8,0.081
2,batchedreal,12,1024,1024,20772.9,0.083
2,batchedreal,12,4096,4096,20479.6,0.082
2,batchedreal,12,16384,16384,20394.6,0.082
2,batchedreal,16,256,256,1647.3,0.007
2,batchedreal,16,1024,1024,1653.5,0.007
2,batchedreal,18,256,256,270.7,0.001
4,batched,12,256,256,9387.5,0.038
4,batched,12,1024,1024,9468.9,0.038
4,batched,12,4096,4096,9418.2,0.038
4,batched,12,16384,16384,9324.5,0.037
4,batched,16,256,256,562.7,0.002
4,batched,16,1024,1024,572.5,0.002
4,batched,18,256,256,96.7,0.000
4,batchedmeas,12,256,256,8959.2,0.036
4,batchedmeas,12,1024,1024,8894.3,0.036
4,batchedmeas,12,4096,4096,8867.1,0.035
4,batchedmeas,12,16384,16384,8864.1,0.035
4,batchedmeas,16,256,256,566.8,0.002
4,batchedmeas,16,1024,1024,575.2,0.002
4,batchedmeas,18,256,256,93.0,0.000
4,batchedreal,12,256,256,38795.4,0.155
4,batchedreal,12,1024,1024,39395.0,0.158
4,batchedreal,12,4096,4096,39185.1,0.157
