circuit,backend,variant,shots,seconds,shots_per_s
conveyor_r16_w24,cpu,threads=1,100000,4.226732,23658.9
conveyor_r16_w24,cpu,threads=0,100000,0.532085,187939.8
conveyor_r16_w24,cuda,thread_per_shot,100000,0.884092,113110.4
conveyor_r16_w24,cuda,block_shared*,100000,0.206227,484901.5
conveyor_r16_w24,cuda,block_global,100000,0.220201,454130.6
hidden_ccz_t4,cpu,threads=1,100000,1.763440,56707.3
hidden_ccz_t4,cpu,threads=0,100000,0.213947,467404.8
hidden_ccz_t4,cuda,thread_per_shot,100000,0.524365,190706.9
hidden_ccz_t4,cuda,block_shared*,100000,0.024070,4154554.8
hidden_ccz_t4,cuda,block_global,100000,0.029923,3341872.7
hidden_shift_np8_tl2,cpu,threads=1,100000,20.704098,4830.0
hidden_shift_np8_tl2,cpu,threads=0,100000,2.308032,43327.0
iqp_n028_t1_cz30,cpu,threads=1,100000,3.316189,30155.1
iqp_n028_t1_cz30,cpu,threads=0,100000,0.430352,232367.7
iqp_n028_t1_cz30,cuda,thread_per_shot,100000,1.006802,99324.4
iqp_n028_t1_cz30,cuda,block_global*,100000,0.094155,1062080.8
qaoa_ring_n16_p3,cpu,threads=1,100000,90.938318,1099.6
qaoa_ring_n16_p3,cpu,threads=0,100000,12.151598,8229.4
qaoa_ring_n16_p3,cuda,thread_per_shot,100000,16.578760,6031.8
qaoa_ring_n16_p3,cuda,block_global*,100000,2.084964,47962.5
rand_cliffT_n20_d40_t05,cpu,threads=1,100000,6.745302,14825.1
rand_cliffT_n20_d40_t05,cpu,threads=0,100000,0.819302,122055.1
rand_cliffT_n20_d40_t05,cuda,thread_per_shot,100000,1.751537,57092.7
rand_cliffT_n20_d40_t05,cuda,block_global*,100000,0.345769,289210.2
