checksums,configuration,effective_batches,maximum_process_median_ms,median_ms,median_process_cycles,median_process_instructions,minimum_process_median_ms,peak_rank,processes,wall_delta_vs_gcc_pct,workload
['13186913668374485321'],gcc,[2048],81.259578,81.02762200000001,,,80.645026,0,4,0.0,surface-d7-r7
['13186913668374485321'],gcc-lto,[2048],76.464241,76.068743,,,75.275336,0,4,-6.119985848776366,surface-d7-r7
['13186913668374485321'],clang,[2048],73.347798,73.19537600000001,,,72.969802,0,4,-9.666143231995628,surface-d7-r7
['13186913668374485321'],clang-thinlto,[2048],69.555481,69.42923,,,69.377645,0,4,-14.314121177096872,surface-d7-r7
['17612316216661381903'],gcc,[2048],74.71509,74.14592350000001,,,73.950132,4,4,0.0,cultivation-d3
['17612316216661381903'],gcc-lto,[2048],73.512782,73.081473,,,72.863856,4,4,-1.435615674811852,cultivation-d3
['17612316216661381903'],clang,[2048],68.992192,68.76582450000001,,,68.348386,4,4,-7.256095475026347,cultivation-d3
['17612316216661381903'],clang-thinlto,[2048],67.465805,67.088004,,,66.882632,4,4,-9.518958247246069,cultivation-d3
['3194798989412880107'],gcc,[1024],113.156887,113.0385995,,,112.923346,5,4,0.0,distillation
['3194798989412880107'],gcc-lto,[1024],109.733633,109.57091349999999,,,109.313219,5,4,-3.0677007812716317,distillation
['3194798989412880107'],clang,[1024],108.541157,108.44368399999999,,,108.306306,5,4,-4.064908376717824,distillation
['3194798989412880107'],clang-thinlto,[1024],106.381788,105.8015715,,,105.657773,5,4,-6.402262618266086,distillation
['392461251850108337'],gcc,[1],97.822196,96.5141845,,,96.024437,7,4,0.0,coherent-d3-r3
['392461251850108337'],gcc-lto,[1],95.092515,93.15069700000001,,,92.904855,7,4,-3.4849670205730154,coherent-d3-r3
['392461251850108337'],clang,[1],93.032209,92.8112385,,,92.734883,7,4,-3.836685787880223,coherent-d3-r3
['392461251850108337'],clang-thinlto,[1],93.554067,93.11442199999999,,,93.037339,7,4,-3.522552169520754,coherent-d3-r3
['8026874994202225828'],gcc,[1],102.646241,100.40120350000001,,,97.57284,10,4,0.0,cultivation-d5
['8026874994202225828'],gcc-lto,[1],96.845762,93.74581,,,92.734489,10,4,-6.628798528296532,cultivation-d5
['8026874994202225828'],clang,[1],93.022363,92.2799615,,,89.04555,10,4,-8.088789493444681,cultivation-d5
['8026874994202225828'],clang-thinlto,[1],90.553192,89.4206475,,,88.97434,10,4,-10.936677666418614,cultivation-d5
['808957205537456065'],gcc,[1],155.719949,150.75440650000002,,,149.291165,20,4,0.0,qv20
['808957205537456065'],gcc-lto,[1],151.491419,150.76469350000002,,,149.310751,20,4,0.006823681137313464,qv20
['808957205537456065'],clang,[1],144.433894,143.8164245,,,143.300598,20,4,-4.6021752604624595,qv20
['808957205537456065'],clang-thinlto,[1],146.011542,144.441313,,,143.81942,20,4,-4.187667642073212,qv20
