checksums,configuration,effective_batches,maximum_process_median_ms,median_ms,median_process_cycles,median_process_instructions,minimum_process_median_ms,peak_rank,processes,wall_delta_vs_gcc_pct,workload
['9719042620982826316'],gcc,[1],550.671539,550.038724,,,549.218572,0,4,0.0,surface-d7-r7
['9719042620982826316'],clang22-thinlto,[1],449.957223,449.35372500000005,,,447.65525,0,4,-18.305074644162676,surface-d7-r7
['15680909780347793836'],gcc,[1],104.202293,103.8710975,,,103.818289,4,4,0.0,cultivation-d3
['15680909780347793836'],clang22-thinlto,[1],91.001842,90.275376,,,90.174001,4,4,-13.08903229794025,cultivation-d3
['6613503108332742104'],gcc,[1],144.686564,143.98684450000002,,,143.666812,5,4,0.0,distillation
['6613503108332742104'],clang22-thinlto,[1],128.567128,127.6101395,,,127.044114,5,4,-11.37375088458169,distillation
['392461251850108337'],gcc,[1],40.793627,39.4134425,,,38.683596,5,4,0.0,coherent-d3-r3
['392461251850108337'],clang22-thinlto,[1],37.810332,37.7804685,,,37.764427,5,4,-4.14319048634233,coherent-d3-r3
['8026874994202225828'],gcc,[1],93.225997,92.4118035,,,91.798072,10,4,0.0,cultivation-d5
['8026874994202225828'],clang22-thinlto,[1],82.567545,82.30525449999999,,,82.168239,10,4,-10.936426535599441,cultivation-d5
['808957205537456065'],gcc,[1],135.666424,135.439269,,,135.235208,20,4,0.0,qv20
['808957205537456065'],clang22-thinlto,[1],134.822679,134.78978,,,134.495511,20,4,-0.4795426059188146,qv20
