circuit,mode,api,keep_records,fixed_k,postselection,requested_batch,effective_batch,effective_workers,shot_workers,intra_shot_workers,batch_lane_work,worker_bytes,median_ms,mean_ms,passed_shots,survival,retained_rows,checksum
/tmp/clifft-issue415-intel-baseline/tools/profile/fixtures/active_width5_sustained.stim,sample,sample,0,-1,none,1,1,8,8,1,25304,0,148.266635,148.4384947,100000,1,100000,9486345918499966623
/tmp/clifft-issue415-intel-baseline/tools/profile/fixtures/active_width5_sustained.stim,sample,sample,0,-1,none,auto,1,8,8,1,25304,0,148.835311,149.2307258,100000,1,100000,9486345918499966623
/tmp/clifft-issue415-intel-baseline/tools/profile/fixtures/active_width5_sustained.stim,sample,sample,0,-1,none,256,256,8,8,1,25304,227648,275.228074,275.2587865,100000,1,100000,1014954778529824686
/tmp/clifft-issue415-intel-baseline/tools/profile/fixtures/active_width5_sustained.stim,sample,sample,0,-1,none,1024,1024,8,8,1,25304,849152,295.214471,295.2901216,100000,1,100000,18443264489594241364
/tmp/clifft-issue415-intel-baseline/tools/profile/fixtures/active_width5_sustained.stim,sample_k,sample_k,0,1,none,1024,1024,8,8,1,25304,849164,294.727632,294.828183,100000,1,100000,15377534522175946724
/tmp/clifft-issue415-intel-baseline/tools/profile/fixtures/active_width5_sustained.stim,sample_k,sample_k,0,1,none,256,256,8,8,1,25304,227660,275.181935,275.1510812,100000,1,100000,14608087242265193183
/tmp/clifft-issue415-intel-baseline/tools/profile/fixtures/active_width5_sustained.stim,sample_k,sample_k,0,1,none,auto,1,8,8,1,25304,0,160.722479,158.7830561,100000,1,100000,13041889493354733899
/tmp/clifft-issue415-intel-baseline/tools/profile/fixtures/active_width5_sustained.stim,sample_k,sample_k,0,1,none,1,1,8,8,1,25304,0,158.018338,157.4293442,100000,1,100000,13041889493354733899
/tmp/clifft-issue415-intel-baseline/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=0/ps=none,sample_survivors,0,-1,none,1,1,8,8,1,25304,0,158.546005,157.7379907,100000,1,0,15452916492511442445
/tmp/clifft-issue415-intel-baseline/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=0/ps=none,sample_survivors,0,-1,none,auto,1,8,8,1,25304,0,158.22528,158.1711275,100000,1,0,15452916492511442445
/tmp/clifft-issue415-intel-baseline/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=0/ps=none,sample_survivors,0,-1,none,256,256,8,8,1,25304,223560,274.654644,274.6561536,100000,1,0,15351659769088183517
