circuit,mode,api,keep_records,fixed_k,postselection,requested_batch,effective_batch,effective_workers,shot_workers,intra_shot_workers,batch_lane_work,worker_bytes,median_ms,mean_ms,passed_shots,survival,retained_rows,checksum
/tmp/clifft-issue415-intel-baseline/tools/profile/fixtures/active_width5_transient.stim,sample,sample,0,-1,none,1,1,1,1,1,2904,0,540.176061,540.9165422,100000,1,100000,11623959522190462558
/tmp/clifft-issue415-intel-baseline/tools/profile/fixtures/active_width5_transient.stim,sample,sample,0,-1,none,auto,1024,1,1,1,2904,1053952,233.802985,233.7509137,100000,1,100000,13102478053275531322
/tmp/clifft-issue415-intel-baseline/tools/profile/fixtures/active_width5_transient.stim,sample,sample,0,-1,none,256,256,1,1,1,2904,272704,224.665476,224.6426263,100000,1,100000,12813112020471603296
/tmp/clifft-issue415-intel-baseline/tools/profile/fixtures/active_width5_transient.stim,sample,sample,0,-1,none,1024,1024,1,1,1,2904,1053952,233.505976,233.7710314,100000,1,100000,13102478053275531322
/tmp/clifft-issue415-intel-baseline/tools/profile/fixtures/active_width5_transient.stim,sample_k,sample_k,0,1,none,1024,1024,1,1,1,2904,1054760,231.90984,231.8628171,100000,1,100000,12286942611850486087
/tmp/clifft-issue415-intel-baseline/tools/profile/fixtures/active_width5_transient.stim,sample_k,sample_k,0,1,none,256,256,1,1,1,2904,273512,222.699635,222.7771659,100000,1,100000,4952198932696742362
/tmp/clifft-issue415-intel-baseline/tools/profile/fixtures/active_width5_transient.stim,sample_k,sample_k,0,1,none,auto,1024,1,1,1,2904,1054760,231.540175,231.4749758,100000,1,100000,12286942611850486087
/tmp/clifft-issue415-intel-baseline/tools/profile/fixtures/active_width5_transient.stim,sample_k,sample_k,0,1,none,1,1,1,1,1,2904,0,540.580431,540.5314174,100000,1,100000,17382680421244580528
/tmp/clifft-issue415-intel-baseline/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=none,sample_survivors,0,-1,none,1,1,1,1,1,2904,0,524.603793,525.0734365,100000,1,0,14870428128634619921
/tmp/clifft-issue415-intel-baseline/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=none,sample_survivors,0,-1,none,auto,1024,1,1,1,2904,1025288,140.250887,140.303254,100000,1,0,1814635453339025246
