circuit,mode,api,keep_records,fixed_k,postselection,requested_batch,effective_batch,effective_workers,shot_workers,intra_shot_workers,batch_lane_work,worker_bytes,median_ms,mean_ms,passed_shots,survival,retained_rows,checksum
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample,sample,0,-1,none,1,1,1,1,1,25304,0,886.774524,886.7091258,100000,1,100000,9486345918499966623
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample,sample,0,-1,none,auto,1,1,1,1,25304,0,864.55934,864.6991437,100000,1,100000,9486345918499966623
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample,sample,0,-1,none,256,256,1,1,1,25304,227648,1331.32929,1331.475125,100000,1,100000,1014954778529824686
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample,sample,0,-1,none,1024,1024,1,1,1,25304,849152,1338.596615,1339.07507,100000,1,100000,18443264489594241364
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_k,sample_k,0,1,none,1024,1024,1,1,1,25304,849164,1338.107195,1338.006064,100000,1,100000,15377534522175946724
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_k,sample_k,0,1,none,256,256,1,1,1,25304,227660,1329.661028,1330.404926,100000,1,100000,14608087242265193183
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_k,sample_k,0,1,none,auto,1,1,1,1,25304,0,865.445964,865.4334908,100000,1,100000,13041889493354733899
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_k,sample_k,0,1,none,1,1,1,1,1,25304,0,887.942798,888.2143132,100000,1,100000,13041889493354733899
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=0/ps=none,sample_survivors,0,-1,none,1,1,1,1,1,25304,0,885.920598,885.9310869,100000,1,0,15452916492511442445
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=0/ps=none,sample_survivors,0,-1,none,auto,1,1,1,1,25304,0,889.645027,889.692939,100000,1,0,15452916492511442445
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=0/ps=none,sample_survivors,0,-1,none,256,256,1,1,1,25304,223560,1328.536943,1328.593985,100000,1,0,15351659769088183517
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=0/ps=none,sample_survivors,0,-1,none,1024,1024,1,1,1,25304,845064,1336.477619,1336.608375,100000,1,0,15998748771617822345
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=0/ps=all,sample_survivors,0,-1,all,1024,1024,1,1,1,25304,845064,1074.6461,1074.502,79981,0.79981,0,10353399273082259901
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=0/ps=all,sample_survivors,0,-1,all,256,256,1,1,1,25304,223560,1064.98187,1065.16511,79726,0.79726,0,16812482538406728941
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=0/ps=all,sample_survivors,0,-1,all,auto,1,1,1,1,25304,0,692.430757,692.3664555,79888,0.79888,0,17294681656102050683
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=0/ps=all,sample_survivors,0,-1,all,1,1,1,1,1,25304,0,690.786354,690.6819124,79888,0.79888,0,17294681656102050683
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=0/ps=alternating,sample_survivors,0,-1,alternating,1,1,1,1,1,25304,0,870.395939,869.9097737,79888,0.79888,0,17294681656102050683
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=0/ps=alternating,sample_survivors,0,-1,alternating,auto,1,1,1,1,25304,0,710.221036,709.9401304,79888,0.79888,0,17294681656102050683
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=0/ps=alternating,sample_survivors,0,-1,alternating,256,256,1,1,1,25304,223560,1061.578686,1062.711549,79726,0.79726,0,16812482538406728941
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=0/ps=alternating,sample_survivors,0,-1,alternating,1024,1024,1,1,1,25304,845064,1072.455461,1072.204995,79981,0.79981,0,10353399273082259901
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=1/ps=none,sample_survivors,1,-1,none,1024,1024,1,1,1,25304,849160,1335.529371,1335.375113,100000,1,100000,10871013391287809748
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=1/ps=none,sample_survivors,1,-1,none,256,256,1,1,1,25304,227656,1329.885344,1329.500709,100000,1,100000,5861139219460172516
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=1/ps=none,sample_survivors,1,-1,none,auto,1,1,1,1,25304,0,865.021074,865.065089,100000,1,100000,16534693287726800366
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=1/ps=none,sample_survivors,1,-1,none,1,1,1,1,1,25304,0,865.068457,865.1895923,100000,1,100000,16534693287726800366
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=1/ps=all,sample_survivors,1,-1,all,1,1,1,1,1,25304,0,710.91413,710.9078576,79888,0.79888,79888,12552442029420018379
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=1/ps=all,sample_survivors,1,-1,all,auto,1,1,1,1,25304,0,697.611017,697.9199163,79888,0.79888,79888,12552442029420018379
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=1/ps=all,sample_survivors,1,-1,all,256,256,1,1,1,25304,227656,1063.392839,1064.294535,79726,0.79726,79726,6129293652425882976
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=1/ps=all,sample_survivors,1,-1,all,1024,1024,1,1,1,25304,849160,1072.447946,1072.329047,79981,0.79981,79981,13957050521973700081
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=1/ps=alternating,sample_survivors,1,-1,alternating,1024,1024,1,1,1,25304,849160,1072.666448,1072.68119,79981,0.79981,79981,13957050521973700081
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=1/ps=alternating,sample_survivors,1,-1,alternating,256,256,1,1,1,25304,227656,1068.323255,1068.94529,79726,0.79726,79726,6129293652425882976
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=1/ps=alternating,sample_survivors,1,-1,alternating,auto,1,1,1,1,25304,0,711.03501,711.5886251,79888,0.79888,79888,12552442029420018379
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=1/ps=alternating,sample_survivors,1,-1,alternating,1,1,1,1,1,25304,0,710.830003,710.9915115,79888,0.79888,79888,12552442029420018379
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_k_survivors/keep=0/ps=none,sample_k_survivors,0,1,none,1,1,1,1,1,25304,0,865.324604,865.2414121,100000,1,0,15452916492511442445
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_k_survivors/keep=0/ps=none,sample_k_survivors,0,1,none,auto,1,1,1,1,25304,0,889.574228,889.5963274,100000,1,0,15452916492511442445
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_k_survivors/keep=0/ps=none,sample_k_survivors,0,1,none,256,256,1,1,1,25304,223572,1326.048383,1326.076162,100000,1,0,11900645188544954283
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_k_survivors/keep=0/ps=none,sample_k_survivors,0,1,none,1024,1024,1,1,1,25304,845076,1333.473522,1333.471765,100000,1,0,600991357330294360
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_k_survivors/keep=0/ps=all,sample_k_survivors,0,1,all,1024,1024,1,1,1,25304,845076,1.174837,1.189282273,0,0,0,5897042890051296564
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_k_survivors/keep=0/ps=all,sample_k_survivors,0,1,all,256,256,1,1,1,25304,223572,1.202041,1.22641,0,0,0,5897042890051296564
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_k_survivors/keep=0/ps=all,sample_k_survivors,0,1,all,auto,1,1,1,1,25304,0,5.614204,5.601364909,0,0,0,5897042890051296564
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_k_survivors/keep=0/ps=all,sample_k_survivors,0,1,all,1,1,1,1,1,25304,0,5.597266,5.594483636,0,0,0,5897042890051296564
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_k_survivors/keep=0/ps=alternating,sample_k_survivors,0,1,alternating,1,1,1,1,1,25304,0,5.575787,5.579062364,0,0,0,5897042890051296564
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_k_survivors/keep=0/ps=alternating,sample_k_survivors,0,1,alternating,auto,1,1,1,1,25304,0,5.568491,5.570776182,0,0,0,5897042890051296564
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_k_survivors/keep=0/ps=alternating,sample_k_survivors,0,1,alternating,256,256,1,1,1,25304,223572,1.200614,1.228931364,0,0,0,5897042890051296564
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_k_survivors/keep=0/ps=alternating,sample_k_survivors,0,1,alternating,1024,1024,1,1,1,25304,845076,1.181371,1.208370364,0,0,0,5897042890051296564
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_k_survivors/keep=1/ps=none,sample_k_survivors,1,1,none,1024,1024,1,1,1,25304,849172,1334.841196,1334.739648,100000,1,100000,7875719204644729059
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_k_survivors/keep=1/ps=none,sample_k_survivors,1,1,none,256,256,1,1,1,25304,227668,1327.933643,1327.779423,100000,1,100000,6222537534567243883
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_k_survivors/keep=1/ps=none,sample_k_survivors,1,1,none,auto,1,1,1,1,25304,0,885.112608,885.1166468,100000,1,100000,804295180879947672
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_k_survivors/keep=1/ps=none,sample_k_survivors,1,1,none,1,1,1,1,1,25304,0,862.407837,862.5239708,100000,1,100000,804295180879947672
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_k_survivors/keep=1/ps=all,sample_k_survivors,1,1,all,1,1,1,1,1,25304,0,5.797456,5.790220818,0,0,0,5897042890051296564
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_k_survivors/keep=1/ps=all,sample_k_survivors,1,1,all,auto,1,1,1,1,25304,0,5.718485,5.726060182,0,0,0,5897042890051296564
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_k_survivors/keep=1/ps=all,sample_k_survivors,1,1,all,256,256,1,1,1,25304,227668,1.414275,1.424646545,0,0,0,5897042890051296564
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_k_survivors/keep=1/ps=all,sample_k_survivors,1,1,all,1024,1024,1,1,1,25304,849172,1.376554,1.389776273,0,0,0,5897042890051296564
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_k_survivors/keep=1/ps=alternating,sample_k_survivors,1,1,alternating,1024,1024,1,1,1,25304,849172,1.390675,1.386782727,0,0,0,5897042890051296564
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_k_survivors/keep=1/ps=alternating,sample_k_survivors,1,1,alternating,256,256,1,1,1,25304,227668,1.406861,1.419374182,0,0,0,5897042890051296564
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_k_survivors/keep=1/ps=alternating,sample_k_survivors,1,1,alternating,auto,1,1,1,1,25304,0,5.807971,5.804183545,0,0,0,5897042890051296564
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_sustained.stim,sample_k_survivors/keep=1/ps=alternating,sample_k_survivors,1,1,alternating,1,1,1,1,1,25304,0,5.793981,5.799010818,0,0,0,5897042890051296564
