circuit,mode,api,keep_records,fixed_k,postselection,requested_batch,effective_batch,effective_workers,shot_workers,intra_shot_workers,batch_lane_work,worker_bytes,median_ms,mean_ms,passed_shots,survival,retained_rows,checksum
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_transient.stim,sample,sample,0,-1,none,1,1,8,8,1,2904,0,118.794449,119.1653877,100000,1,100000,11623959522190462558
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_transient.stim,sample,sample,0,-1,none,auto,1024,8,8,1,2904,1053952,63.916007,63.80405209,100000,1,100000,13102478053275531322
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_transient.stim,sample,sample,0,-1,none,256,256,8,8,1,2904,272704,51.006915,51.16290291,100000,1,100000,12813112020471603296
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_transient.stim,sample,sample,0,-1,none,1024,1024,8,8,1,2904,1053952,63.742684,63.88284436,100000,1,100000,13102478053275531322
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_transient.stim,sample_k,sample_k,0,1,none,1024,1024,8,8,1,2904,1054760,53.403316,55.053843,100000,1,100000,12286942611850486087
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_transient.stim,sample_k,sample_k,0,1,none,256,256,8,8,1,2904,273512,50.755592,50.76209045,100000,1,100000,4952198932696742362
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_transient.stim,sample_k,sample_k,0,1,none,auto,1024,8,8,1,2904,1054760,53.271864,55.04259764,100000,1,100000,12286942611850486087
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_transient.stim,sample_k,sample_k,0,1,none,1,1,8,8,1,2904,0,117.172066,117.2563928,100000,1,100000,17382680421244580528
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=none,sample_survivors,0,-1,none,1,1,8,8,1,2904,0,112.719705,112.9059699,100000,1,0,14870428128634619921
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=none,sample_survivors,0,-1,none,auto,1024,8,8,1,2904,1025288,30.540571,30.553726,100000,1,0,1814635453339025246
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=none,sample_survivors,0,-1,none,256,256,8,8,1,2904,264520,28.536328,28.597905,100000,1,0,7686977597321529669
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=none,sample_survivors,0,-1,none,1024,1024,8,8,1,2904,1025288,30.519045,30.52364245,100000,1,0,1814635453339025246
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=all,sample_survivors,0,-1,all,1024,1024,8,8,1,2904,1025288,29.976507,29.958855,0,0,0,5897042890051296564
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=all,sample_survivors,0,-1,all,256,256,8,8,1,2904,264520,27.989729,28.056772,0,0,0,5897042890051296564
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=all,sample_survivors,0,-1,all,auto,1024,8,8,1,2904,1025288,30.003992,30.03691436,0,0,0,5897042890051296564
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=all,sample_survivors,0,-1,all,1,1,8,8,1,2904,0,28.260168,28.29800573,0,0,0,5897042890051296564
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=alternating,sample_survivors,0,-1,alternating,1,1,8,8,1,2904,0,28.392619,28.58498555,0,0,0,5897042890051296564
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=alternating,sample_survivors,0,-1,alternating,auto,1024,8,8,1,2904,1025288,29.990505,30.03524236,0,0,0,5897042890051296564
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=alternating,sample_survivors,0,-1,alternating,256,256,8,8,1,2904,264520,27.996561,28.02970673,0,0,0,5897042890051296564
/tmp/clifft-issue415-intel-candidate/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=alternating,sample_survivors,0,-1,alternating,1024,1024,8,8,1,2904,1025288,30.007727,30.01436864,0,0,0,5897042890051296564
