circuit,mode,api,keep_records,fixed_k,postselection,requested_batch,effective_batch,effective_workers,shot_workers,intra_shot_workers,batch_lane_work,worker_bytes,median_ms,mean_ms,passed_shots,survival,retained_rows,checksum
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=0/ps=alternating,sample_survivors,0,-1,alternating,1,1,1,1,1,25304,0,347.368042,347.4218143,79888,0.79888,0,17294681656102050683
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=0/ps=alternating,sample_survivors,0,-1,alternating,auto,1,1,1,1,25304,0,346.852416,346.4774091,79888,0.79888,0,17294681656102050683
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=0/ps=alternating,sample_survivors,0,-1,alternating,256,256,1,1,1,25304,223560,262.062417,261.6380946,79726,0.79726,0,16812482538406728941
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=0/ps=alternating,sample_survivors,0,-1,alternating,1024,1024,1,1,1,25304,845064,270.951959,271.0989319,79981,0.79981,0,10353399273082259901
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=1/ps=alternating,sample_survivors,1,-1,alternating,1024,1024,1,1,1,25304,849160,274.772208,274.0479432,79981,0.79981,79981,13957050521973700081
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=1/ps=alternating,sample_survivors,1,-1,alternating,256,256,1,1,1,25304,227656,263.724125,263.6495984,79726,0.79726,79726,6129293652425882976
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=1/ps=alternating,sample_survivors,1,-1,alternating,auto,1,1,1,1,25304,0,350.231292,349.6197842,79888,0.79888,79888,12552442029420018379
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=1/ps=alternating,sample_survivors,1,-1,alternating,1,1,1,1,1,25304,0,363.788125,363.6651553,79888,0.79888,79888,12552442029420018379
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_k_survivors/keep=0/ps=alternating,sample_k_survivors,0,1,alternating,1,1,1,1,1,25304,0,3.0675,3.097787909,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_k_survivors/keep=0/ps=alternating,sample_k_survivors,0,1,alternating,auto,1,1,1,1,25304,0,3.025584,3.043598545,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_k_survivors/keep=0/ps=alternating,sample_k_survivors,0,1,alternating,256,256,1,1,1,25304,223572,0.787041,0.7999734545,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_k_survivors/keep=0/ps=alternating,sample_k_survivors,0,1,alternating,1024,1024,1,1,1,25304,845076,0.790375,0.791515,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_k_survivors/keep=1/ps=alternating,sample_k_survivors,1,1,alternating,1024,1024,1,1,1,25304,849172,0.825292,0.8232916364,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_k_survivors/keep=1/ps=alternating,sample_k_survivors,1,1,alternating,256,256,1,1,1,25304,227668,0.848625,0.8469885455,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_k_survivors/keep=1/ps=alternating,sample_k_survivors,1,1,alternating,auto,1,1,1,1,25304,0,3.172958,3.187943091,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_k_survivors/keep=1/ps=alternating,sample_k_survivors,1,1,alternating,1,1,1,1,1,25304,0,3.173875,3.188587182,0,0,0,5897042890051296564
