circuit,mode,api,keep_records,fixed_k,postselection,requested_batch,effective_batch,effective_workers,shot_workers,intra_shot_workers,batch_lane_work,worker_bytes,median_ms,mean_ms,passed_shots,survival,retained_rows,checksum
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=alternating,sample_survivors,0,-1,alternating,1,1,8,8,1,2904,0,9.912208,10.15567427,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=alternating,sample_survivors,0,-1,alternating,auto,1024,8,8,1,2904,1025288,6.280667,6.343083182,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=alternating,sample_survivors,0,-1,alternating,256,256,8,8,1,2904,264520,5.711792,5.714068091,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=alternating,sample_survivors,0,-1,alternating,1024,1024,8,8,1,2904,1025288,6.261666,6.265962182,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=1/ps=alternating,sample_survivors,1,-1,alternating,1024,1024,8,8,1,2904,1053960,6.733125,6.757231091,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=1/ps=alternating,sample_survivors,1,-1,alternating,256,256,8,8,1,2904,272712,6.1205,6.100022636,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=1/ps=alternating,sample_survivors,1,-1,alternating,auto,1024,8,8,1,2904,1053960,6.87675,6.889200727,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=1/ps=alternating,sample_survivors,1,-1,alternating,1,1,8,8,1,2904,0,10.467,10.56455682,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample_k_survivors/keep=0/ps=alternating,sample_k_survivors,0,1,alternating,1,1,8,8,1,2904,0,8.86425,8.879560636,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample_k_survivors/keep=0/ps=alternating,sample_k_survivors,0,1,alternating,auto,1024,8,8,1,2904,1026096,6.380833,6.432291455,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample_k_survivors/keep=0/ps=alternating,sample_k_survivors,0,1,alternating,256,256,8,8,1,2904,265328,5.751292,5.856378909,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample_k_survivors/keep=0/ps=alternating,sample_k_survivors,0,1,alternating,1024,1024,8,8,1,2904,1026096,6.476709,6.516969727,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample_k_survivors/keep=1/ps=alternating,sample_k_survivors,1,1,alternating,1024,1024,8,8,1,2904,1054768,6.852583,6.852678,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample_k_survivors/keep=1/ps=alternating,sample_k_survivors,1,1,alternating,256,256,8,8,1,2904,273520,6.08925,6.154405273,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample_k_survivors/keep=1/ps=alternating,sample_k_survivors,1,1,alternating,auto,1024,8,8,1,2904,1054768,6.623209,6.678852364,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample_k_survivors/keep=1/ps=alternating,sample_k_survivors,1,1,alternating,1,1,8,8,1,2904,0,9.38075,9.385325727,0,0,0,5897042890051296564
