circuit,mode,api,keep_records,fixed_k,postselection,requested_batch,effective_batch,effective_workers,shot_workers,intra_shot_workers,batch_lane_work,worker_bytes,median_ms,mean_ms,passed_shots,survival,retained_rows,checksum
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=0/ps=alternating,sample_survivors,0,-1,alternating,1,1,1,1,1,25304,0,347.168209,347.1822311,79888,0.79888,0,17294681656102050683
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=0/ps=alternating,sample_survivors,0,-1,alternating,auto,1,1,1,1,25304,0,362.090209,362.5432765,79888,0.79888,0,17294681656102050683
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=0/ps=alternating,sample_survivors,0,-1,alternating,256,256,1,1,1,25304,223560,262.594,262.7802726,79726,0.79726,0,16812482538406728941
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=0/ps=alternating,sample_survivors,0,-1,alternating,1024,1024,1,1,1,25304,845064,274.169875,274.4451403,79981,0.79981,0,10353399273082259901
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=1/ps=alternating,sample_survivors,1,-1,alternating,1024,1024,1,1,1,25304,849160,275.021541,275.694697,79981,0.79981,79981,13957050521973700081
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=1/ps=alternating,sample_survivors,1,-1,alternating,256,256,1,1,1,25304,227656,264.511375,264.7972195,79726,0.79726,79726,6129293652425882976
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=1/ps=alternating,sample_survivors,1,-1,alternating,auto,1,1,1,1,25304,0,360.255583,360.2554623,79888,0.79888,79888,12552442029420018379
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=1/ps=alternating,sample_survivors,1,-1,alternating,1,1,1,1,1,25304,0,356.622584,356.3102653,79888,0.79888,79888,12552442029420018379
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_sustained.stim,sample_k_survivors/keep=0/ps=alternating,sample_k_survivors,0,1,alternating,1,1,1,1,1,25304,0,3.083625,3.088246182,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_sustained.stim,sample_k_survivors/keep=0/ps=alternating,sample_k_survivors,0,1,alternating,auto,1,1,1,1,25304,0,3.05575,3.057166818,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_sustained.stim,sample_k_survivors/keep=0/ps=alternating,sample_k_survivors,0,1,alternating,256,256,1,1,1,25304,223572,0.787917,0.8030076364,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_sustained.stim,sample_k_survivors/keep=0/ps=alternating,sample_k_survivors,0,1,alternating,1024,1024,1,1,1,25304,845076,0.804875,0.824053,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_sustained.stim,sample_k_survivors/keep=1/ps=alternating,sample_k_survivors,1,1,alternating,1024,1024,1,1,1,25304,849172,0.857333,0.8565718182,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_sustained.stim,sample_k_survivors/keep=1/ps=alternating,sample_k_survivors,1,1,alternating,256,256,1,1,1,25304,227668,0.861959,0.8853674545,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_sustained.stim,sample_k_survivors/keep=1/ps=alternating,sample_k_survivors,1,1,alternating,auto,1,1,1,1,25304,0,3.134125,3.157075636,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_sustained.stim,sample_k_survivors/keep=1/ps=alternating,sample_k_survivors,1,1,alternating,1,1,1,1,1,25304,0,3.215042,3.223348455,0,0,0,5897042890051296564
