circuit,mode,api,keep_records,fixed_k,postselection,requested_batch,effective_batch,effective_workers,shot_workers,intra_shot_workers,batch_lane_work,worker_bytes,median_ms,mean_ms,passed_shots,survival,retained_rows,checksum
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=alternating,sample_survivors,0,-1,alternating,1,1,8,8,1,2904,0,9.907292,9.999011455,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=alternating,sample_survivors,0,-1,alternating,auto,1024,8,8,1,2904,1025288,6.302833,6.287484727,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=alternating,sample_survivors,0,-1,alternating,256,256,8,8,1,2904,264520,5.587208,5.672848455,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=alternating,sample_survivors,0,-1,alternating,1024,1024,8,8,1,2904,1025288,6.253333,6.274632273,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=1/ps=alternating,sample_survivors,1,-1,alternating,1024,1024,8,8,1,2904,1053960,6.485375,6.562121,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=1/ps=alternating,sample_survivors,1,-1,alternating,256,256,8,8,1,2904,272712,6.154042,6.119833364,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=1/ps=alternating,sample_survivors,1,-1,alternating,auto,1024,8,8,1,2904,1053960,6.402792,6.482575727,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=1/ps=alternating,sample_survivors,1,-1,alternating,1,1,8,8,1,2904,0,10.207042,10.23179182,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_k_survivors/keep=0/ps=alternating,sample_k_survivors,0,1,alternating,1,1,8,8,1,2904,0,8.462917,8.497223455,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_k_survivors/keep=0/ps=alternating,sample_k_survivors,0,1,alternating,auto,1024,8,8,1,2904,1026096,6.387,6.323177909,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_k_survivors/keep=0/ps=alternating,sample_k_survivors,0,1,alternating,256,256,8,8,1,2904,265328,5.809875,5.823583455,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_k_survivors/keep=0/ps=alternating,sample_k_survivors,0,1,alternating,1024,1024,8,8,1,2904,1026096,6.42025,6.437575545,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_k_survivors/keep=1/ps=alternating,sample_k_survivors,1,1,alternating,1024,1024,8,8,1,2904,1054768,6.853667,6.871685727,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_k_survivors/keep=1/ps=alternating,sample_k_survivors,1,1,alternating,256,256,8,8,1,2904,273520,6.079167,6.137420545,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_k_survivors/keep=1/ps=alternating,sample_k_survivors,1,1,alternating,auto,1024,8,8,1,2904,1054768,6.852417,6.857882636,0,0,0,5897042890051296564
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_k_survivors/keep=1/ps=alternating,sample_k_survivors,1,1,alternating,1,1,8,8,1,2904,0,9.128834,9.136617455,0,0,0,5897042890051296564
