circuit,mode,api,keep_records,fixed_k,postselection,requested_batch,effective_batch,effective_workers,shot_workers,intra_shot_workers,batch_lane_work,worker_bytes,median_ms,mean_ms,passed_shots,survival,retained_rows,checksum
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample,sample,0,-1,none,1,1,8,8,1,25304,0,67.005541,67.90177957,100000,1,100000,2811277614935008473
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample,sample,0,-1,none,auto,1,8,8,1,25304,0,65.380709,71.55430971,100000,1,100000,2811277614935008473
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample,sample,0,-1,none,64,64,8,8,1,25304,72272,47.9685,48.10857729,100000,1,100000,2192695380982340284
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample,sample,0,-1,none,256,256,8,8,1,25304,227648,46.9645,47.23705943,100000,1,100000,6883815175622878855
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample,sample,0,-1,none,1024,1024,8,8,1,25304,849152,53.652959,53.51148829,100000,1,100000,13507011865050906379
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample,sample,0,-1,none,2048,2048,8,8,1,25304,1681920,54.6695,54.72067857,100000,1,100000,11137615475441069278
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_k,sample_k,0,1,none,2048,2048,8,8,1,25304,1681932,55.019167,55.01102357,100000,1,100000,14055332916550705789
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_k,sample_k,0,1,none,1024,1024,8,8,1,25304,849164,53.739125,53.73787514,100000,1,100000,5003526421488337306
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_k,sample_k,0,1,none,256,256,8,8,1,25304,227660,46.510875,46.83929157,100000,1,100000,10323266805630787980
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_k,sample_k,0,1,none,64,64,8,8,1,25304,72284,47.905958,47.93635114,100000,1,100000,15266735357609946969
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_k,sample_k,0,1,none,auto,1,8,8,1,25304,0,65.261167,65.65195829,100000,1,100000,4021874417481212282
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_k,sample_k,0,1,none,1,1,8,8,1,25304,0,68.814375,68.99713686,100000,1,100000,4021874417481212282
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=0/ps=none,sample_survivors,0,-1,none,1,1,8,8,1,25304,0,65.188667,66.02704743,100000,1,0,693719009526489845
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=0/ps=none,sample_survivors,0,-1,none,auto,1,8,8,1,25304,0,63.854083,65.94283929,100000,1,0,693719009526489845
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=0/ps=none,sample_survivors,0,-1,none,64,64,8,8,1,25304,68184,47.692291,47.67844643,100000,1,0,17086739292658011584
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=0/ps=none,sample_survivors,0,-1,none,256,256,8,8,1,25304,223560,46.416166,46.437506,100000,1,0,12401699170849180011
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=0/ps=none,sample_survivors,0,-1,none,1024,1024,8,8,1,25304,845064,53.307625,53.311768,100000,1,0,14338686405540482978
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=0/ps=none,sample_survivors,0,-1,none,2048,2048,8,8,1,25304,1677832,54.449375,54.50148814,100000,1,0,10152073269936686088
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=0/ps=all,sample_survivors,0,-1,all,2048,2048,8,8,1,25304,1677832,44.041334,44.06448829,79897,0.79897,0,4809123292144766726
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=0/ps=all,sample_survivors,0,-1,all,1024,1024,8,8,1,25304,845064,42.8025,42.75208329,80079,0.80079,0,17295930404884069867
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=0/ps=all,sample_survivors,0,-1,all,256,256,8,8,1,25304,223560,37.522833,37.625589,79939,0.79939,0,10970993143023162560
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=0/ps=all,sample_survivors,0,-1,all,64,64,8,8,1,25304,68184,38.960417,38.98819629,80069,0.80069,0,12020472737522156260
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=0/ps=all,sample_survivors,0,-1,all,auto,1,8,8,1,25304,0,54.582917,54.81039914,79906,0.79906,0,2031468859621537436
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=0/ps=all,sample_survivors,0,-1,all,1,1,8,8,1,25304,0,52.289583,53.02754171,79906,0.79906,0,2031468859621537436
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=1/ps=none,sample_survivors,1,-1,none,1,1,8,8,1,25304,0,63.933292,64.62035129,100000,1,100000,16737080295530899286
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=1/ps=none,sample_survivors,1,-1,none,auto,1,8,8,1,25304,0,70.40075,73.77402971,100000,1,100000,16737080295530899286
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=1/ps=none,sample_survivors,1,-1,none,64,64,8,8,1,25304,72280,48.15775,50.46124986,100000,1,100000,10821004536583104310
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=1/ps=none,sample_survivors,1,-1,none,256,256,8,8,1,25304,227656,46.527125,46.49958329,100000,1,100000,8732743292550800274
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=1/ps=none,sample_survivors,1,-1,none,1024,1024,8,8,1,25304,849160,53.531542,53.59283329,100000,1,100000,14321375101438542667
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=1/ps=none,sample_survivors,1,-1,none,2048,2048,8,8,1,25304,1681928,54.810666,54.816232,100000,1,100000,1318642317723326840
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=1/ps=all,sample_survivors,1,-1,all,2048,2048,8,8,1,25304,1681928,45.05775,45.06177971,79897,0.79897,79897,18030185492825853325
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=1/ps=all,sample_survivors,1,-1,all,1024,1024,8,8,1,25304,849160,43.910583,43.91010714,80079,0.80079,80079,957684632660348895
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=1/ps=all,sample_survivors,1,-1,all,256,256,8,8,1,25304,227656,38.678333,38.93107714,79939,0.79939,79939,3164030879280770195
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=1/ps=all,sample_survivors,1,-1,all,64,64,8,8,1,25304,72280,39.744417,39.73685143,80069,0.80069,80069,15422391879004998088
