circuit,mode,api,keep_records,fixed_k,postselection,requested_batch,effective_batch,effective_workers,shot_workers,intra_shot_workers,batch_lane_work,worker_bytes,median_ms,mean_ms,passed_shots,survival,retained_rows,checksum
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample,sample,0,-1,none,1,1,8,8,1,2904,0,46.257125,47.11180943,100000,1,100000,9803119733889533541
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample,sample,0,-1,none,auto,1024,8,8,1,2904,1053952,12.518125,12.53141057,100000,1,100000,16251115118719239602
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample,sample,0,-1,none,64,64,8,8,1,2904,76368,12.361083,12.38366657,100000,1,100000,918039871037580194
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample,sample,0,-1,none,256,256,8,8,1,2904,272704,11.819375,11.73249414,100000,1,100000,14544505339727498833
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample,sample,0,-1,none,1024,1024,8,8,1,2904,1053952,12.550292,12.57229171,100000,1,100000,16251115118719239602
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample,sample,0,-1,none,2048,2048,8,8,1,2904,2091520,12.744459,12.71506571,100000,1,100000,5555138875694896609
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample_k,sample_k,0,1,none,2048,2048,8,8,1,2904,2092328,12.643834,12.61752371,100000,1,100000,16716988722356364547
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample_k,sample_k,0,1,none,1024,1024,8,8,1,2904,1054760,12.4895,12.513494,100000,1,100000,14525674147478925399
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample_k,sample_k,0,1,none,256,256,8,8,1,2904,273512,11.717583,11.68942843,100000,1,100000,3809084001008614185
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample_k,sample_k,0,1,none,64,64,8,8,1,2904,77176,12.245875,12.25810729,100000,1,100000,13610002142436732394
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample_k,sample_k,0,1,none,auto,1024,8,8,1,2904,1054760,12.372125,12.42280943,100000,1,100000,14525674147478925399
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample_k,sample_k,0,1,none,1,1,8,8,1,2904,0,39.021125,38.99581543,100000,1,100000,11482883882413542304
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=none,sample_survivors,0,-1,none,1,1,8,8,1,2904,0,39.519791,39.63267871,100000,1,0,11798975910543676326
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=none,sample_survivors,0,-1,none,auto,1024,8,8,1,2904,1025288,6.464541,6.481803286,100000,1,0,14611433688066877529
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=none,sample_survivors,0,-1,none,64,64,8,8,1,2904,72280,6.561792,6.583523857,100000,1,0,7174013748878528183
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=none,sample_survivors,0,-1,none,256,256,8,8,1,2904,264520,6.161583,6.114762,100000,1,0,8183987293890845741
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=none,sample_survivors,0,-1,none,1024,1024,8,8,1,2904,1025288,6.3385,6.378184714,100000,1,0,14611433688066877529
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=none,sample_survivors,0,-1,none,2048,2048,8,8,1,2904,2038280,6.464708,6.567333429,100000,1,0,12448848694210124196
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=all,sample_survivors,0,-1,all,2048,2048,8,8,1,2904,2038280,6.497083,6.556404857,0,0,0,11541074854117262382
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=all,sample_survivors,0,-1,all,1024,1024,8,8,1,2904,1025288,6.471583,6.513053714,0,0,0,11541074854117262382
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=all,sample_survivors,0,-1,all,256,256,8,8,1,2904,264520,5.839375,5.825369286,0,0,0,11541074854117262382
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=all,sample_survivors,0,-1,all,64,64,8,8,1,2904,72280,5.990708,6.028375,0,0,0,11541074854117262382
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=all,sample_survivors,0,-1,all,auto,1024,8,8,1,2904,1025288,6.570666,6.634273429,0,0,0,11541074854117262382
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=all,sample_survivors,0,-1,all,1,1,8,8,1,2904,0,10.190834,10.162518,0,0,0,11541074854117262382
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=1/ps=none,sample_survivors,1,-1,none,1,1,8,8,1,2904,0,40.596459,40.84313114,100000,1,100000,3631362476865084307
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=1/ps=none,sample_survivors,1,-1,none,auto,1024,8,8,1,2904,1053960,13.0625,13.09259543,100000,1,100000,4670620665509043324
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=1/ps=none,sample_survivors,1,-1,none,64,64,8,8,1,2904,76376,12.845792,12.83376771,100000,1,100000,9016213981357174978
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=1/ps=none,sample_survivors,1,-1,none,256,256,8,8,1,2904,272712,11.9285,11.98595857,100000,1,100000,7674410543140011903
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=1/ps=none,sample_survivors,1,-1,none,1024,1024,8,8,1,2904,1053960,12.821417,12.84674414,100000,1,100000,4670620665509043324
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=1/ps=none,sample_survivors,1,-1,none,2048,2048,8,8,1,2904,2091528,13.054833,13.10478571,100000,1,100000,3629186994962098489
/private/tmp/clifft-issue415-fba10d75/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=1/ps=all,sample_survivors,1,-1,all,2048,2048,8,8,1,2904,2091528,6.821583,6.844273714,0,0,0,11541074854117262382
