circuit,mode,api,keep_records,fixed_k,postselection,requested_batch,effective_batch,effective_workers,shot_workers,intra_shot_workers,batch_lane_work,worker_bytes,median_ms,mean_ms,passed_shots,survival,retained_rows,checksum
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_sustained.stim,sample,sample,0,-1,none,1,1,8,8,1,25304,0,70.374292,70.68857157,100000,1,100000,2811277614935008473
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_sustained.stim,sample,sample,0,-1,none,auto,1,8,8,1,25304,0,68.714167,68.80977986,100000,1,100000,2811277614935008473
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_sustained.stim,sample,sample,0,-1,none,64,64,8,8,1,25304,72272,47.979875,47.97474414,100000,1,100000,2192695380982340284
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_sustained.stim,sample,sample,0,-1,none,256,256,8,8,1,25304,227648,46.368209,46.43980957,100000,1,100000,6883815175622878855
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_sustained.stim,sample,sample,0,-1,none,1024,1024,8,8,1,25304,849152,53.532292,53.53445243,100000,1,100000,13507011865050906379
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_sustained.stim,sample,sample,0,-1,none,2048,2048,8,8,1,25304,1681920,54.517042,54.54035729,100000,1,100000,11137615475441069278
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_sustained.stim,sample_k,sample_k,0,1,none,2048,2048,8,8,1,25304,1681932,54.834084,54.846012,100000,1,100000,14055332916550705789
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_sustained.stim,sample_k,sample_k,0,1,none,1024,1024,8,8,1,25304,849164,53.746041,53.69076786,100000,1,100000,5003526421488337306
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_sustained.stim,sample_k,sample_k,0,1,none,256,256,8,8,1,25304,227660,46.65175,47.55846414,100000,1,100000,10323266805630787980
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_sustained.stim,sample_k,sample_k,0,1,none,64,64,8,8,1,25304,72284,48.121916,48.05554157,100000,1,100000,15266735357609946969
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_sustained.stim,sample_k,sample_k,0,1,none,auto,1,8,8,1,25304,0,67.910541,68.40439857,100000,1,100000,4021874417481212282
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_sustained.stim,sample_k,sample_k,0,1,none,1,1,8,8,1,25304,0,68.434083,68.647964,100000,1,100000,4021874417481212282
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=0/ps=none,sample_survivors,0,-1,none,1,1,8,8,1,25304,0,68.217375,68.34227971,100000,1,0,693719009526489845
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=0/ps=none,sample_survivors,0,-1,none,auto,1,8,8,1,25304,0,71.621042,72.72196429,100000,1,0,693719009526489845
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_sustained.stim,sample_survivors/keep=0/ps=none,sample_survivors,0,-1,none,64,64,8,8,1,25304,68184,47.816709,47.92743457,100000,1,0,17086739292658011584
