circuit,mode,api,keep_records,fixed_k,postselection,requested_batch,effective_batch,effective_workers,shot_workers,intra_shot_workers,batch_lane_work,worker_bytes,median_ms,mean_ms,passed_shots,survival,retained_rows,checksum
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample,sample,0,-1,none,1,1,8,8,1,2904,0,47.159542,46.94747,100000,1,100000,9803119733889533541
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample,sample,0,-1,none,auto,1024,8,8,1,2904,1053952,12.575417,12.56467257,100000,1,100000,16251115118719239602
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample,sample,0,-1,none,64,64,8,8,1,2904,76368,12.35475,12.35045843,100000,1,100000,918039871037580194
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample,sample,0,-1,none,256,256,8,8,1,2904,272704,11.780333,11.73733914,100000,1,100000,14544505339727498833
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample,sample,0,-1,none,1024,1024,8,8,1,2904,1053952,12.484,12.47309529,100000,1,100000,16251115118719239602
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample,sample,0,-1,none,2048,2048,8,8,1,2904,2091520,12.7395,12.79021443,100000,1,100000,5555138875694896609
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_k,sample_k,0,1,none,2048,2048,8,8,1,2904,2092328,12.545542,12.63942257,100000,1,100000,16716988722356364547
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_k,sample_k,0,1,none,1024,1024,8,8,1,2904,1054760,12.432541,12.45980943,100000,1,100000,14525674147478925399
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_k,sample_k,0,1,none,256,256,8,8,1,2904,273512,11.667459,11.672512,100000,1,100000,3809084001008614185
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_k,sample_k,0,1,none,64,64,8,8,1,2904,77176,12.298958,12.28450586,100000,1,100000,13610002142436732394
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_k,sample_k,0,1,none,auto,1024,8,8,1,2904,1054760,12.543709,12.51932757,100000,1,100000,14525674147478925399
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_k,sample_k,0,1,none,1,1,8,8,1,2904,0,38.672833,38.60810714,100000,1,100000,11482883882413542304
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=none,sample_survivors,0,-1,none,1,1,8,8,1,2904,0,39.560208,39.60977986,100000,1,0,11798975910543676326
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=none,sample_survivors,0,-1,none,auto,1024,8,8,1,2904,1025288,6.404708,6.410113,100000,1,0,14611433688066877529
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=none,sample_survivors,0,-1,none,64,64,8,8,1,2904,72280,6.800709,6.881964571,100000,1,0,7174013748878528183
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=none,sample_survivors,0,-1,none,256,256,8,8,1,2904,264520,6.236959,6.189976286,100000,1,0,8183987293890845741
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=none,sample_survivors,0,-1,none,1024,1024,8,8,1,2904,1025288,6.392375,6.457696429,100000,1,0,14611433688066877529
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=none,sample_survivors,0,-1,none,2048,2048,8,8,1,2904,2038280,6.543209,6.626666857,100000,1,0,12448848694210124196
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=all,sample_survivors,0,-1,all,2048,2048,8,8,1,2904,2038280,6.304542,6.398178714,0,0,0,11541074854117262382
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=all,sample_survivors,0,-1,all,1024,1024,8,8,1,2904,1025288,6.201583,6.293125,0,0,0,11541074854117262382
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=all,sample_survivors,0,-1,all,256,256,8,8,1,2904,264520,5.841334,5.857720429,0,0,0,11541074854117262382
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=all,sample_survivors,0,-1,all,64,64,8,8,1,2904,72280,5.972416,5.990029857,0,0,0,11541074854117262382
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=all,sample_survivors,0,-1,all,auto,1024,8,8,1,2904,1025288,6.211875,6.318779714,0,0,0,11541074854117262382
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=0/ps=all,sample_survivors,0,-1,all,1,1,8,8,1,2904,0,10.0595,10.04122,0,0,0,11541074854117262382
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=1/ps=none,sample_survivors,1,-1,none,1,1,8,8,1,2904,0,40.426709,40.39009529,100000,1,100000,3631362476865084307
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=1/ps=none,sample_survivors,1,-1,none,auto,1024,8,8,1,2904,1053960,12.88725,12.84829771,100000,1,100000,4670620665509043324
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=1/ps=none,sample_survivors,1,-1,none,64,64,8,8,1,2904,76376,12.686417,12.72140486,100000,1,100000,9016213981357174978
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=1/ps=none,sample_survivors,1,-1,none,256,256,8,8,1,2904,272712,12.049,12.04633943,100000,1,100000,7674410543140011903
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=1/ps=none,sample_survivors,1,-1,none,1024,1024,8,8,1,2904,1053960,12.890084,12.80838686,100000,1,100000,4670620665509043324
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=1/ps=none,sample_survivors,1,-1,none,2048,2048,8,8,1,2904,2091528,13.09825,13.14205957,100000,1,100000,3629186994962098489
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=1/ps=all,sample_survivors,1,-1,all,2048,2048,8,8,1,2904,2091528,6.865125,6.848761857,0,0,0,11541074854117262382
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=1/ps=all,sample_survivors,1,-1,all,1024,1024,8,8,1,2904,1053960,6.41575,6.467244143,0,0,0,11541074854117262382
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=1/ps=all,sample_survivors,1,-1,all,256,256,8,8,1,2904,272712,6.178,6.235339143,0,0,0,11541074854117262382
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=1/ps=all,sample_survivors,1,-1,all,64,64,8,8,1,2904,76376,6.267917,6.270214143,0,0,0,11541074854117262382
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=1/ps=all,sample_survivors,1,-1,all,auto,1024,8,8,1,2904,1053960,6.465916,6.567154714,0,0,0,11541074854117262382
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_survivors/keep=1/ps=all,sample_survivors,1,-1,all,1,1,8,8,1,2904,0,10.209209,10.23561329,0,0,0,11541074854117262382
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_k_survivors/keep=0/ps=none,sample_k_survivors,0,1,none,1,1,8,8,1,2904,0,38.290042,38.48081557,100000,1,0,7548141880577909238
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_k_survivors/keep=0/ps=none,sample_k_survivors,0,1,none,auto,1024,8,8,1,2904,1026096,6.354875,6.340440571,100000,1,0,8380742939455868529
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_k_survivors/keep=0/ps=none,sample_k_survivors,0,1,none,64,64,8,8,1,2904,73088,6.755875,6.742994286,100000,1,0,5701632449626906269
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_k_survivors/keep=0/ps=none,sample_k_survivors,0,1,none,256,256,8,8,1,2904,265328,6.15525,6.141035714,100000,1,0,3114786166684289474
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_k_survivors/keep=0/ps=none,sample_k_survivors,0,1,none,1024,1024,8,8,1,2904,1026096,6.6125,6.553672714,100000,1,0,8380742939455868529
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_k_survivors/keep=0/ps=none,sample_k_survivors,0,1,none,2048,2048,8,8,1,2904,2039088,6.89625,6.875649143,100000,1,0,8751257691641881101
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_k_survivors/keep=0/ps=all,sample_k_survivors,0,1,all,2048,2048,8,8,1,2904,2039088,6.794083,6.801892857,0,0,0,11541074854117262382
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_k_survivors/keep=0/ps=all,sample_k_survivors,0,1,all,1024,1024,8,8,1,2904,1026096,6.594,6.576160714,0,0,0,11541074854117262382
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_k_survivors/keep=0/ps=all,sample_k_survivors,0,1,all,256,256,8,8,1,2904,265328,5.865541,5.873184429,0,0,0,11541074854117262382
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_k_survivors/keep=0/ps=all,sample_k_survivors,0,1,all,64,64,8,8,1,2904,73088,5.930583,5.953720286,0,0,0,11541074854117262382
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_k_survivors/keep=0/ps=all,sample_k_survivors,0,1,all,auto,1024,8,8,1,2904,1026096,6.4205,6.395011857,0,0,0,11541074854117262382
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_k_survivors/keep=0/ps=all,sample_k_survivors,0,1,all,1,1,8,8,1,2904,0,8.688875,8.668428571,0,0,0,11541074854117262382
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_k_survivors/keep=1/ps=none,sample_k_survivors,1,1,none,1,1,8,8,1,2904,0,39.105958,39.35204771,100000,1,100000,6888038463698784971
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_k_survivors/keep=1/ps=none,sample_k_survivors,1,1,none,auto,1024,8,8,1,2904,1054768,12.5655,12.58595257,100000,1,100000,11124867126811940505
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_k_survivors/keep=1/ps=none,sample_k_survivors,1,1,none,64,64,8,8,1,2904,77184,12.517458,12.536827,100000,1,100000,11368560216195764012
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_k_survivors/keep=1/ps=none,sample_k_survivors,1,1,none,256,256,8,8,1,2904,273520,12.190542,12.17875029,100000,1,100000,7953484720322919713
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_k_survivors/keep=1/ps=none,sample_k_survivors,1,1,none,1024,1024,8,8,1,2904,1054768,12.5655,12.56233914,100000,1,100000,11124867126811940505
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_k_survivors/keep=1/ps=none,sample_k_survivors,1,1,none,2048,2048,8,8,1,2904,2092336,13.049042,13.06214886,100000,1,100000,5314339345048317257
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_k_survivors/keep=1/ps=all,sample_k_survivors,1,1,all,2048,2048,8,8,1,2904,2092336,6.769208,6.728196429,0,0,0,11541074854117262382
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_k_survivors/keep=1/ps=all,sample_k_survivors,1,1,all,1024,1024,8,8,1,2904,1054768,6.311584,6.457797714,0,0,0,11541074854117262382
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_k_survivors/keep=1/ps=all,sample_k_survivors,1,1,all,256,256,8,8,1,2904,273520,6.08825,6.086309857,0,0,0,11541074854117262382
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_k_survivors/keep=1/ps=all,sample_k_survivors,1,1,all,64,64,8,8,1,2904,77184,6.287958,6.313851143,0,0,0,11541074854117262382
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_k_survivors/keep=1/ps=all,sample_k_survivors,1,1,all,auto,1024,8,8,1,2904,1054768,6.450166,6.498380857,0,0,0,11541074854117262382
/private/tmp/clifft-issue415-26f3ba1a/tools/profile/fixtures/active_width5_transient.stim,sample_k_survivors/keep=1/ps=all,sample_k_survivors,1,1,all,1,1,8,8,1,2904,0,9.043333,9.085256,0,0,0,11541074854117262382
